"Name","Total Population by Race/Ethnicity"
"Description","Total population by racial/ethnic group."
"Source Notes","<span style=""color: #333333;"">U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B03002 (2009-2018); retrieved <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>.</span>
<div><span style=""color: #333333;""><br />
</span></div>"
"Notes","Percents refer to the percent of the total population. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Other = other non-Latino of any race, Latino = Latino of any race.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Murray Hill/Stuyvesant,Asian,2011,Number,19259,106
Lower East Side,Asian,2011,Number,56805,103
Battery Park/Tribeca,Asian,2011,Number,8691.93143,101
Greenwich Village,Asian,2011,Number,12831.06857,102
Tottenville,Asian,2011,Number,6398,503
South Beach,Asian,2011,Number,15095,502
St. George,Asian,2011,Number,14007,501
Williamsburg/Greenpoint,Asian,2011,Number,7798,301
Bushwick,Asian,2011,Number,4823,304
Bedford Stuyvesant,Asian,2011,Number,3759,303
Fort Greene/Brooklyn Hts,Asian,2011,Number,8255,302
Park Slope,Asian,2011,Number,6906,306
Crown Heights North,Asian,2011,Number,3704,308
Brownsville,Asian,2011,Number,819,316
East New York,Asian,2011,Number,5995,305
Canarsie,Asian,2011,Number,7151,318
East Flatbush,Asian,2011,Number,2105,317
Crown Heights South,Asian,2011,Number,1681,309
Sunset Park,Asian,2011,Number,43145,307
Bay Ridge,Asian,2011,Number,28414,310
Borough Park,Asian,2011,Number,21634,312
Flatbush/Midwood,Asian,2011,Number,13994,314
Sheepshead Bay,Asian,2011,Number,22797,315
Bensonhurst,Asian,2011,Number,61991,311
Coney Island,Asian,2011,Number,13115,313
Astoria,Asian,2011,Number,22848,401
Jackson Heights,Asian,2011,Number,31628,403
Flushing,Asian,2011,Number,115917,407
Bayside,Asian,2011,Number,42828,411
Queens Village,Asian,2011,Number,30624,413
Fresh Meadows/Briarwood,Asian,2011,Number,48404,408
Elmhurst/Corona,Asian,2011,Number,46033,404
Rego Park/Forest Hills,Asian,2011,Number,30152,406
Sunnyside/Woodside,Asian,2011,Number,46908,402
Ridgewood/Glendale,Asian,2011,Number,12266,405
Woodhaven,Asian,2011,Number,33729,409
Jamaica/St. Albans,Asian,2011,Number,22985,412
Howard Beach,Asian,2011,Number,24412,410
The Rockaways,Asian,2011,Number,1934,414
Bronx,Asian,2011,Number,47655,36005
Brooklyn,Asian,2011,Number,258086,36047
Manhattan,Asian,2011,Number,175483,36061
Queens,Asian,2011,Number,510668,36081
Staten Island,Asian,2011,Number,35500,36085
New York City,Asian,2011,Number,1027392,3651000
Riverdale,Asian,2011,Percent,0.04598,208
Williamsbridge,Asian,2011,Percent,0.02368,212
Throgs Neck,Asian,2011,Percent,0.02061,210
Pelham Parkway,Asian,2011,Percent,0.09299,211
Morrisania,Asian,2011,Percent,0.01023,203
East Tremont,Asian,2011,Percent,0.01023,206
Bedford Park,Asian,2011,Percent,0.05325,207
University Heights,Asian,2011,Percent,0.01529,205
Concourse/Highbridge,Asian,2011,Percent,0.01585,204
Unionport/Soundview,Asian,2011,Percent,0.0659,209
Mott Haven,Asian,2011,Percent,0.00697,201
Hunts Point,Asian,2011,Percent,0.00697,202
Washington Heights,Asian,2011,Percent,0.02352,112
Manhattanville,Asian,2011,Percent,0.07346,109
Central Harlem,Asian,2011,Percent,0.03068,110
East Harlem,Asian,2011,Percent,0.06389,111
Upper East Side,Asian,2011,Percent,0.08376,108
Upper West Side,Asian,2011,Percent,0.07571,107
Chelsea/Clinton,Asian,2011,Percent,0.13626,104
Midtown Business District,Asian,2011,Percent,0.13626,105
Murray Hill/Stuyvesant,Asian,2011,Percent,0.13182,106
Lower East Side,Asian,2011,Percent,0.34579,103
Battery Park/Tribeca,Asian,2011,Percent,0.15144,101
Greenwich Village,Asian,2011,Percent,0.15144,102
Tottenville,Asian,2011,Percent,0.03977,503
South Beach,Asian,2011,Percent,0.11425,502
St. George,Asian,2011,Percent,0.08095,501
Williamsburg/Greenpoint,Asian,2011,Percent,0.05441,301
Bushwick,Asian,2011,Percent,0.03675,304
Bedford Stuyvesant,Asian,2011,Percent,0.02888,303
Fort Greene/Brooklyn Hts,Asian,2011,Percent,0.06927,302
Park Slope,Asian,2011,Percent,0.06129,306
Crown Heights North,Asian,2011,Percent,0.03039,308
Brownsville,Asian,2011,Percent,0.00715,316
East New York,Asian,2011,Percent,0.03991,305
Canarsie,Asian,2011,Percent,0.03526,318
East Flatbush,Asian,2011,Percent,0.01523,317
Crown Heights South,Asian,2011,Percent,0.01535,309
Sunset Park,Asian,2011,Percent,0.29394,307
Bay Ridge,Asian,2011,Percent,0.22343,310
Borough Park,Asian,2011,Percent,0.13246,312
Flatbush/Midwood,Asian,2011,Percent,0.08818,314
Sheepshead Bay,Asian,2011,Percent,0.16279,315
Bensonhurst,Asian,2011,Percent,0.36054,311
Coney Island,Asian,2011,Percent,0.12569,313
Astoria,Asian,2011,Percent,0.13561,401
Jackson Heights,Asian,2011,Percent,0.1787,403
Flushing,Asian,2011,Percent,0.47488,407
Bayside,Asian,2011,Percent,0.3629,411
Queens Village,Asian,2011,Percent,0.15284,413
Fresh Meadows/Briarwood,Asian,2011,Percent,0.32267,408
Elmhurst/Corona,Asian,2011,Percent,0.33321,404
Rego Park/Forest Hills,Asian,2011,Percent,0.2693,406
Sunnyside/Woodside,Asian,2011,Percent,0.36081,402
Ridgewood/Glendale,Asian,2011,Percent,0.07236,405
Woodhaven,Asian,2011,Percent,0.23306,409
Jamaica/St. Albans,Asian,2011,Percent,0.10466,412
Howard Beach,Asian,2011,Percent,0.18922,410
The Rockaways,Asian,2011,Percent,0.01711,414
Bronx,Asian,2011,Percent,0.03467,36005
Brooklyn,Asian,2011,Percent,0.10381,36047
Manhattan,Asian,2011,Percent,0.11049,36061
Queens,Asian,2011,Percent,0.23066,36081
Staten Island,Asian,2011,Percent,0.07617,36085
New York City,Asian,2011,Percent,0.12639,3651000
Riverdale,Asian,2012,Number,5130,208
Williamsbridge,Asian,2012,Number,2937,212
Throgs Neck,Asian,2012,Number,2555,210
Pelham Parkway,Asian,2012,Number,11608,211
Morrisania,Asian,2012,Number,651.18826,203
East Tremont,Asian,2012,Number,679.81174,206
Bedford Park,Asian,2012,Number,8101,207
University Heights,Asian,2012,Number,1641,205
Concourse/Highbridge,Asian,2012,Number,1709,204
Unionport/Soundview,Asian,2012,Number,12125,209
Mott Haven,Asian,2012,Number,817.30692,201
Hunts Point,Asian,2012,Number,466.69308,202
Washington Heights,Asian,2012,Number,5147,112
Manhattanville,Asian,2012,Number,9411,109
Central Harlem,Asian,2012,Number,4115,110
East Harlem,Asian,2012,Number,8163,111
Upper East Side,Asian,2012,Number,19143,108
Upper West Side,Asian,2012,Number,15012,107
Chelsea/Clinton,Asian,2012,Number,12643.87702,104
Midtown Business District,Asian,2012,Number,6328.12298,105
Murray Hill/Stuyvesant,Asian,2012,Number,20164,106
Lower East Side,Asian,2012,Number,55554,103
Battery Park/Tribeca,Asian,2012,Number,8971.39138,101
Greenwich Village,Asian,2012,Number,13243.60862,102
Tottenville,Asian,2012,Number,6776,503
South Beach,Asian,2012,Number,15696,502
St. George,Asian,2012,Number,13301,501
Williamsburg/Greenpoint,Asian,2012,Number,7624,301
Bushwick,Asian,2012,Number,5218,304
Bedford Stuyvesant,Asian,2012,Number,3739,303
Fort Greene/Brooklyn Hts,Asian,2012,Number,8861,302
Park Slope,Asian,2012,Number,7012,306
Crown Heights North,Asian,2012,Number,3587,308
Brownsville,Asian,2012,Number,1077,316
East New York,Asian,2012,Number,5654,305
Canarsie,Asian,2012,Number,6741,318
East Flatbush,Asian,2012,Number,2344,317
Crown Heights South,Asian,2012,Number,1996,309
Sunset Park,Asian,2012,Number,45913,307
Bay Ridge,Asian,2012,Number,28417,310
Borough Park,Asian,2012,Number,22564,312
Flatbush/Midwood,Asian,2012,Number,13887,314
Sheepshead Bay,Asian,2012,Number,22726,315
Bensonhurst,Asian,2012,Number,64914,311
Coney Island,Asian,2012,Number,13984,313
Astoria,Asian,2012,Number,21303,401
Jackson Heights,Asian,2012,Number,31034,403
Flushing,Asian,2012,Number,121129,407
Bayside,Asian,2012,Number,45695,411
Queens Village,Asian,2012,Number,29713,413
Fresh Meadows/Briarwood,Asian,2012,Number,49713,408
Elmhurst/Corona,Asian,2012,Number,46972,404
Rego Park/Forest Hills,Asian,2012,Number,29412,406
Sunnyside/Woodside,Asian,2012,Number,46618,402
Ridgewood/Glendale,Asian,2012,Number,12052,405
Woodhaven,Asian,2012,Number,36058,409
Jamaica/St. Albans,Asian,2012,Number,23517,412
Howard Beach,Asian,2012,Number,25021,410
The Rockaways,Asian,2012,Number,2362,414
Bronx,Asian,2012,Number,48421,36005
Brooklyn,Asian,2012,Number,266258,36047
Manhattan,Asian,2012,Number,177896,36061
Queens,Asian,2012,Number,520599,36081
Staten Island,Asian,2012,Number,35773,36085
New York City,Asian,2012,Number,1048947,3651000
Riverdale,Asian,2012,Percent,0.04821,208
Williamsbridge,Asian,2012,Percent,0.0204,212
Throgs Neck,Asian,2012,Percent,0.0219,210
Pelham Parkway,Asian,2012,Percent,0.0911,211
Morrisania,Asian,2012,Percent,0.00843,203
East Tremont,Asian,2012,Percent,0.00843,206
Bedford Park,Asian,2012,Percent,0.06512,207
University Heights,Asian,2012,Percent,0.01238,205
Concourse/Highbridge,Asian,2012,Percent,0.01219,204
Unionport/Soundview,Asian,2012,Percent,0.0663,209
Mott Haven,Asian,2012,Percent,0.00834,201
Hunts Point,Asian,2012,Percent,0.00834,202
Washington Heights,Asian,2012,Percent,0.02439,112
Manhattanville,Asian,2012,Percent,0.07256,109
Central Harlem,Asian,2012,Percent,0.03295,110
East Harlem,Asian,2012,Percent,0.06707,111
Upper East Side,Asian,2012,Percent,0.08786,108
Upper West Side,Asian,2012,Percent,0.07662,107
Chelsea/Clinton,Asian,2012,Percent,0.13507,104
Midtown Business District,Asian,2012,Percent,0.13507,105
Murray Hill/Stuyvesant,Asian,2012,Percent,0.13825,106
Lower East Side,Asian,2012,Percent,0.33762,103
Battery Park/Tribeca,Asian,2012,Percent,0.15347,101
Greenwich Village,Asian,2012,Percent,0.15347,102
Tottenville,Asian,2012,Percent,0.04152,503
South Beach,Asian,2012,Percent,0.1187,502
St. George,Asian,2012,Percent,0.07691,501
Williamsburg/Greenpoint,Asian,2012,Percent,0.0531,301
Bushwick,Asian,2012,Percent,0.03921,304
Bedford Stuyvesant,Asian,2012,Percent,0.02781,303
Fort Greene/Brooklyn Hts,Asian,2012,Percent,0.07232,302
Park Slope,Asian,2012,Percent,0.06245,306
Crown Heights North,Asian,2012,Percent,0.02975,308
Brownsville,Asian,2012,Percent,0.0092,316
East New York,Asian,2012,Percent,0.03712,305
Canarsie,Asian,2012,Percent,0.0328,318
East Flatbush,Asian,2012,Percent,0.01688,317
Crown Heights South,Asian,2012,Percent,0.01804,309
Sunset Park,Asian,2012,Percent,0.30817,307
Bay Ridge,Asian,2012,Percent,0.22022,310
Borough Park,Asian,2012,Percent,0.13933,312
Flatbush/Midwood,Asian,2012,Percent,0.08867,314
Sheepshead Bay,Asian,2012,Percent,0.15839,315
Bensonhurst,Asian,2012,Percent,0.36681,311
Coney Island,Asian,2012,Percent,0.13339,313
Astoria,Asian,2012,Percent,0.12593,401
Jackson Heights,Asian,2012,Percent,0.17381,403
Flushing,Asian,2012,Percent,0.48588,407
Bayside,Asian,2012,Percent,0.3809,411
